signature,timestamp,hour,day_of_week,day_name,compute_units,fee_lamports,fee_sol,instructions,success,slot
p1RchJvoJRPyi2aznesZuC22kpJfXXwBdE5XTiK1T4t3P1EnoW4n5VBHTxbbXb4cg6aTG8eUX6UPTU7XiUHN3wT,2025-12-21 19:14:10+00:00,19,6,Sunday,61742,6000,6e-06,7,True,388248425
2xyJy3PaShxJnNYXrS1QuPTUBssFFjAJKAiUj4RDgNb2NmJbigE4jccNdSG42mVyVXUj95XqpBzmY7v6bYcptdeC,2025-12-21 19:14:10+00:00,19,6,Sunday,29716,15001,1.5001e-05,5,False,388248425
3LBWTGgDcJ8rfaZfpsmkZmdccX8HJyBUi29HngYMJ9UpQXkYCW2enhYyECewFnZ1styhEg8SYXF6vsBuDaNAz5p2,2025-12-21 19:14:10+00:00,19,6,Sunday,37144,49181,4.9181e-05,4,True,388248425
3cTGkj8zQAexhciZPgmeVo4JrQiaFCAaKythCUFYL2i7V5GWXeVo9CLMJBeuR3h4w1qEUadY9UvWpgcqAK4Giwhi,2025-12-21 19:14:09+00:00,19,6,Sunday,42630,55000,5.5e-05,8,True,388248424
5uZwck2Afvw1iLe3BtueWkkicvd61ZGvKVUgM8EBn11BCpNtdHnmK5F1GLdc7VBkyKKQXe7SgRmckBYYzGJkJPpG,2025-12-21 19:14:09+00:00,19,6,Sunday,60826,6065,6.065e-06,7,True,388248424
21v6rEdMJD6UmBCz223qxz7ettwzXqaq2BXdPYaokqwHrS5sGC23xUSepLscrG959N2uqXX2gwCY58QgQgLi6aNq,2025-12-21 19:14:09+00:00,19,6,Sunday,115566,111645,0.000111645,3,True,388248424
2QVi1RJK3JAYz8qZiiTd5PvDEqcNN2U3mH1MLRga59rLmF9CeAjJLxgzuqwapbpU6Ltr1V2BWNMTu5b3Va3p6JBn,2025-12-21 19:14:09+00:00,19,6,Sunday,46515,16251,1.6251e-05,3,True,388248424
2u2fpxD1qxnfPfm6xmRfmitjmsrwegApNMGu6YEEwpPRBrgmk7Kh2NJmCEMUpj8atyr5jLosCSKuHb1Cudz1TthV,2025-12-21 19:14:09+00:00,19,6,Sunday,28763,53893,5.3893e-05,5,False,388248423
21uGkgLfqbrRwarz99rEaouaNdLiLeqYfYkX77PCi1DumnBrjszNixxEfpV4wFK19LNdVstHuRVSCePxwRZhe4s1,2025-12-21 19:14:09+00:00,19,6,Sunday,60242,6000,6e-06,7,True,388248422
ij5KJjz3zNrWGsrbhFUztfkz32iMMEybeixHLvZavGx1kKuPndXbgLf3rGCERsbdoYz8EjTGFPAgzwftgxDeT25,2025-12-21 19:14:09+00:00,19,6,Sunday,38629,5075,5.075e-06,4,True,388248422
4kYg6mTYrRyVj9gCNZziGCyXoWh341D4yNVJR8wSaaSuLJXYQJ3rxvJ4nqQW9n8MfdHAWYDs5ccfsRWFyxAm2Wxs,2025-12-21 19:14:09+00:00,19,6,Sunday,164867,23120,2.312e-05,3,True,388248422
2FdmhFxvZZPdujfxoSt7ixeHMFKjf22ZpEZ8qLTCPDkfKYQEFxoUzozxEHT5L8W7wtuvwfC6vtx52qG3xdM5kXDg,2025-12-21 19:14:09+00:00,19,6,Sunday,46134,5753,5.753e-06,4,True,388248422
2tW5Bau53eMUMSCsJT7KnGeJKd3mb9qgw3zfyxi4SKgujeEwP4VbgaZ3sHt3R2yFXWnvdCxZAxqYFyMjsS9mWfPg,2025-12-21 19:14:08+00:00,19,6,Sunday,382027,12153,1.2153e-05,4,True,388248421
